,,Max Altitude,Max Velocity,,Max Acceleration(G),,,,,,,,,,,,,
,,398.593,1.95,,3.10161,,,,,,,,,,,,,
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:008,,393.3,0,34.3158,1.06657,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,0,0.125,-0.25,0.125,0,-0.25,0,6.95E-308,1.45357e-311
-00:00:02:018,Apogee,392.464,-0.835639,34.1515,1.06146,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,2.6875,1.9375,-1.8125,1.9375,2.6875,-1.8125,0,6.95E-308,1.45357e-311
-00:00:03:031,,393.579,1.11419,33.2476,1.03337,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1.1875,0.375,-0.5,0.375,-1.1875,-0.5,0,6.95E-308,1.45357e-311
-00:00:04:043,Apogee,393.021,-0.5571,33.861,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:05:057,,393.579,0.5571,33.8449,1.05193,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,-0.1875,0.9375,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:06:080,,393.857,0.278553,33.8779,1.05296,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.8125,-0.0625,0.8125,-0.375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:07:084,Apogee,393.021,-0.835653,33.9907,1.05646,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.25,0.875,-0.4375,-0.25,0,6.95E-308,1.45357e-311
-00:00:08:089,,393.579,0.5571,33.7646,1.04944,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.1875,-0.125,1.1875,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:09:091,,393.579,0,33.8777,1.05295,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.3125,0.8125,-0.0625,0.8125,-0.3125,-0.0625,0,6.95E-308,1.45357e-311
-00:00:10:092,,392.743,-0.835646,34.0722,1.059,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,0,1,-0.5625,0,0,6.95E-308,1.45357e-311
-00:00:11:094,,393.579,0.835646,33.8772,1.05294,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.125,1,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:00:12:095,,393.857,0.278553,34.1209,1.06051,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.9375,-0.25,0.9375,-0.375,-0.25,0,6.95E-308,1.45357e-311
-00:00:13:097,,393.579,-0.278553,33.7636,1.04941,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,-0.125,1.0625,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:14:098,,393.3,-0.278551,33.8614,1.05245,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,0,1,-0.4375,0,0,6.95E-308,1.45357e-311
-00:00:15:099,,393.021,-0.278549,34.2016,1.06302,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,1.0625,-0.125,1.0625,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:00:16:101,,393.3,0.278549,33.7497,1.04897,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.0625,-0.125,1.0625,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:17:114,,393.857,0.557104,34.1047,1.06001,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.125,0.875,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:18:127,,393.579,-0.278553,33.8937,1.05345,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.6875,-0.0625,0.6875,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:19:144,,392.743,-0.835646,33.861,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.1875,0.875,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:20:193,,394.136,1.39275,33.7486,1.04894,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.75,-0.125,0.75,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:21:200,Apogee,393.579,-0.557109,33.8616,1.05245,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:22:229,,393.857,0.278553,33.9908,1.05647,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-0.125,1,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:23:259,,393.579,-0.278553,33.926,1.05446,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.25,1.0625,-0.5625,-0.25,0,6.95E-308,1.45357e-311
-00:00:24:289,,393.857,0.278553,33.5858,1.04388,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.9375,-0.0625,0.9375,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:25:318,,393.579,-0.278553,33.7968,1.05044,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0,0.9375,-0.5625,0,0,6.95E-308,1.45357e-311
-00:00:26:332,,393.3,-0.278551,33.7965,1.05043,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.6875,-0.1875,0.6875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:27:345,,393.579,0.278551,33.781,1.04995,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,-0.125,0.9375,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:28:360,,393.579,0,34.0563,1.0585,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,0,0.9375,-0.5,0,0,6.95E-308,1.45357e-311
-00:00:29:370,,392.743,-0.835646,33.7969,1.05044,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:30:384,,393.021,0.278546,34.0393,1.05798,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.125,-0.0625,1.125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:31:397,,392.743,-0.278546,34.023,1.05747,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,-0.1875,1,-0.625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:32:410,,392.743,0,33.7319,1.04842,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-0.25,1,-0.5625,-0.25,0,6.95E-308,1.45357e-311
-00:00:33:423,,393.021,0.278546,33.7478,1.04891,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.9375,-0.1875,0.9375,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:34:436,,393.021,0,33.942,1.05495,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,-0.1875,1,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:35:449,,393.3,0.278549,33.942,1.05495,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.75,-0.1875,0.75,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:36:462,,393.3,0,33.7646,1.04944,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.8125,-0.0625,0.8125,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:37:477,,393.3,0,33.7638,1.04941,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.0625,0.875,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:38:489,,393.579,0.278551,34.0235,1.05748,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.1875,0.875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:39:501,,393.857,0.278553,33.8611,1.05244,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.8125,-0.0625,0.8125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:40:514,,393.3,-0.557104,33.8609,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.125,-0.125,1.125,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:41:527,,393.579,0.278551,33.8287,1.05143,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.0625,1,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:42:540,,393.3,-0.278551,33.9577,1.05544,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.875,-0.125,0.875,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:43:553,,393.857,0.557104,34.0387,1.05796,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.125,0.875,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:00:44:567,,393.3,-0.557104,34.0237,1.05749,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.1875,1,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:45:580,,393.579,0.278551,33.9257,1.05444,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.9375,-0.25,0.9375,-0.4375,-0.25,0,6.95E-308,1.45357e-311
-00:00:46:592,,393.857,0.278553,33.9093,1.05393,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.8125,0,0.8125,-0.4375,0,0,6.95E-308,1.45357e-311
-00:00:47:593,,393.857,0,33.9583,1.05546,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.875,-0.1875,0.875,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:48:602,,393.857,0,33.6509,1.0459,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.8125,-0.0625,0.8125,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:49:616,,394.136,0.278555,33.9257,1.05444,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,-0.0625,1.0625,-0.625,-0.0625,0,6.95E-308,1.45357e-311
-00:00:50:627,,394.414,0.278558,33.8773,1.05294,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:51:658,,394.693,0.27856,33.8784,1.05298,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,0,0.9375,-0.5,0,0,6.95E-308,1.45357e-311
-00:00:52:688,Apogee,394.136,-0.557118,34.1039,1.05998,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.8125,0,0.8125,-0.6875,0,0,6.95E-308,1.45357e-311
-00:00:53:718,,393.3,-0.83566,33.9415,1.05494,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.3125,0.8125,-0.1875,0.8125,-0.3125,-0.1875,0,6.95E-308,1.45357e-311
-00:00:54:747,,393.579,0.278551,34.1863,1.06255,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-0.0625,1,-0.5625,-0.0625,0,6.95E-308,1.45357e-311
-00:00:55:748,,393.857,0.278553,33.9262,1.05446,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.9375,-0.1875,0.9375,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:00:56:761,,393.579,-0.278553,34.1193,1.06046,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.9375,0,0.9375,-0.375,0,0,6.95E-308,1.45357e-311
-00:00:57:774,,393.579,0,33.9592,1.05549,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.75,0,0.75,-0.4375,0,0,6.95E-308,1.45357e-311
-00:00:58:782,,393.579,0,33.8123,1.05092,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,-0.3125,0.9375,-0.5625,-0.3125,0,6.95E-308,1.45357e-311
-00:00:59:783,,393.3,-0.278551,34.0246,1.05752,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0,1,-0.5,0,0,6.95E-308,1.45357e-311
-00:01:00:797,,393.579,0.278551,33.8784,1.05298,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1.125,-0.125,1.125,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:01:806,,393.579,0,33.9417,1.05494,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,0,1,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:02:807,,393.579,0,33.9903,1.05645,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.8125,0,0.8125,-0.5,0,0,6.95E-308,1.45357e-311
-00:01:03:820,,393.857,0.278553,33.7473,1.0489,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.1875,0.875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:01:04:828,,393.3,-0.557104,33.9421,1.05495,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.875,-0.125,0.875,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:01:05:842,,393.3,0,33.958,1.05545,44.5669,-123.276,N 44° 34.0131',W 123° 16.554',-0.5,0.9375,-0.125,0.9375,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:01:06:857,,393.579,0.278551,34.0232,1.05747,44.5669,-123.276,N 44° 34.0136',W 123° 16.554',-0.5625,0.9375,-0.1875,0.9375,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:01:07:868,,393.857,0.278553,33.78,1.04992,44.5669,-123.276,N 44° 34.0142',W 123° 16.5535',-0.6875,1,-0.125,1,-0.6875,-0.125,0,6.95E-308,1.45357e-311
-00:01:08:881,,393.3,-0.557104,33.8291,1.05144,44.5669,-123.276,N 44° 34.0147',W 123° 16.5532',-0.5,0.6875,-0.25,0.6875,-0.5,-0.25,0,6.95E-308,1.45357e-311
-00:01:09:895,,393.579,0.278551,33.8784,1.05297,44.5669,-123.276,N 44° 34.015',W 123° 16.5529',-0.4375,1.125,-0.0625,1.125,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:01:10:901,,393.579,0,34.0387,1.05796,44.5669,-123.276,N 44° 34.0154',W 123° 16.5525',-0.4375,0.9375,0,0.9375,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:11:921,,393.579,0,34.1198,1.06048,44.5669,-123.276,N 44° 34.0163',W 123° 16.5519',-0.5,0.9375,-0.1875,0.9375,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:01:12:930,,393.021,-0.5571,33.926,1.05445,44.5669,-123.276,N 44° 34.0167',W 123° 16.5517',-0.5,0.9375,-15.9375,0.9375,-0.5,-15.9375,0,6.95E-308,1.45357e-311
-00:01:13:943,,393.3,0.278549,34.0712,1.05897,44.567,-123.276,N 44° 34.0176',W 123° 16.5511',-0.4375,0.8125,-0.1875,0.8125,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:01:14:949,,393.857,0.557104,33.8777,1.05295,44.567,-123.276,N 44° 34.0179',W 123° 16.5508',-0.4375,0.9375,-0.0625,0.9375,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:01:15:951,,393.021,-0.835653,33.7962,1.05042,44.567,-123.276,N 44° 34.0181',W 123° 16.5505',-0.5,1.1875,-0.125,1.1875,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:01:16:970,,393.579,0.5571,33.8935,1.05344,44.567,-123.276,N 44° 34.0184',W 123° 16.5504',-0.375,0.875,-0.0625,0.875,-0.375,-0.0625,0,6.95E-308,1.45357e-311
-00:01:17:981,,393.579,0,33.926,1.05445,44.567,-123.276,N 44° 34.0184',W 123° 16.5502',-0.75,1.0625,-0.125,1.0625,-0.75,-0.125,0,6.95E-308,1.45357e-311
-00:01:18:997,,394.136,0.557109,33.7636,1.04941,44.567,-123.276,N 44° 34.0185',W 123° 16.5501',-0.375,0.9375,-0.0625,0.9375,-0.375,-0.0625,0,6.95E-308,1.45357e-311
-00:01:20:007,,393.579,-0.557109,33.9749,1.05597,44.567,-123.276,N 44° 34.0184',W 123° 16.5501',-0.4375,1.125,-0.125,1.125,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:21:019,,393.579,0,33.8613,1.05244,44.567,-123.276,N 44° 34.0183',W 123° 16.5503',-0.6875,1,-0.0625,1,-0.6875,-0.0625,0,6.95E-308,1.45357e-311
-00:01:22:050,,394.136,0.557109,33.7972,1.05045,44.567,-123.276,N 44° 34.0181',W 123° 16.5503',-0.5,1.1875,-0.1875,1.1875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:01:23:080,,393.579,-0.557109,33.9753,1.05599,44.567,-123.276,N 44° 34.018',W 123° 16.5503',-0.5,0.875,-0.1875,0.875,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:01:24:110,,394.136,0.557109,33.8448,1.05193,44.567,-123.276,N 44° 34.018',W 123° 16.5502',-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:01:25:139,,393.857,-0.278555,33.9429,1.05498,44.567,-123.276,N 44° 34.0179',W 123° 16.5502',-0.3125,0.875,-0.25,0.875,-0.3125,-0.25,0,6.95E-308,1.45357e-311
-00:01:26:152,,393.021,-0.835653,33.7638,1.04941,44.567,-123.276,N 44° 34.0177',W 123° 16.5503',-0.5625,0.75,0,0.75,-0.5625,0,0,6.95E-308,1.45357e-311
-00:01:27:165,,393.579,0.5571,33.9421,1.05496,44.567,-123.276,N 44° 34.0175',W 123° 16.5504',-0.4375,0.9375,0,0.9375,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:28:178,,393.857,0.278553,34.0227,1.05746,44.567,-123.276,N 44° 34.0172',W 123° 16.5503',-0.3125,0.6875,-0.3125,0.6875,-0.3125,-0.3125,0,6.95E-308,1.45357e-311
-00:01:29:192,,393.579,-0.278553,33.9589,1.05548,44.5669,-123.276,N 44° 34.017',W 123° 16.5503',-0.3125,0.8125,-0.0625,0.8125,-0.3125,-0.0625,0,6.95E-308,1.45357e-311
-00:01:30:208,,394.136,0.557109,33.9745,1.05596,44.5669,-123.276,N 44° 34.0169',W 123° 16.5502',-0.4375,0.75,-0.0625,0.75,-0.4375,-0.0625,0,6.95E-308,1.45357e-311
-00:01:31:218,,393.857,-0.278555,33.7322,1.04843,44.5669,-123.276,N 44° 34.0168',W 123° 16.5501',-0.5625,0.9375,-0.0625,0.9375,-0.5625,-0.0625,0,6.95E-308,1.45357e-311
-00:01:32:234,,393.857,0,33.9914,1.05649,44.5669,-123.276,N 44° 34.0166',W 123° 16.5501',-0.625,1,-0.1875,1,-0.625,-0.1875,0,6.95E-308,1.45357e-311
-00:01:33:243,,393.857,0,34.0231,1.05747,44.5669,-123.276,N 44° 34.0164',W 123° 16.5501',-0.5625,0.875,-0.0625,0.875,-0.5625,-0.0625,0,6.95E-308,1.45357e-311
-00:01:34:258,,393.857,0,33.8447,1.05193,44.5669,-123.276,N 44° 34.0162',W 123° 16.5502',-0.6875,1.0625,-0.0625,1.0625,-0.6875,-0.0625,0,6.95E-308,1.45357e-311
-00:01:35:269,,394.414,0.557113,33.9097,1.05395,44.5669,-123.276,N 44° 34.0161',W 123° 16.5503',-0.4375,0.9375,-0.1875,0.9375,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:01:36:283,,393.857,-0.557113,33.8937,1.05345,44.567,-123.276,N 44° 34.0173',W 123° 16.55',-0.5625,1,0,1,-0.5625,0,0,6.95E-308,1.45357e-311
