,,Max Altitude,Max Velocity,,Max Acceleration(G),,,,,,,,,,,,,
-00:01:37:296,,393.857,0,33.8611,1.05244,44.567,-123.276,N 44° 34.0181',W 123° 16.5498',-0.375,0.875,-0.125,0.875,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:01:38:309,,393.579,-0.278553,33.8944,1.05347,44.567,-123.276,N 44° 34.0187',W 123° 16.5497',-0.5,1.0625,-0.0625,1.0625,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:39:321,,393.579,0,33.8944,1.05347,44.567,-123.276,N 44° 34.0192',W 123° 16.5496',-0.5,1,0,1,-0.5,0,0,6.95E-308,1.45357e-311
-00:01:40:335,,393.579,0,34.0067,1.05696,44.567,-123.276,N 44° 34.0196',W 123° 16.5496',-0.375,0.9375,-0.125,0.9375,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:01:41:349,,393.579,0,33.716,1.04793,44.567,-123.276,N 44° 34.0199',W 123° 16.5495',-0.375,0.9375,-0.25,0.9375,-0.375,-0.25,0,6.95E-308,1.45357e-311
-00:01:42:362,,393.579,0,33.8931,1.05343,44.567,-123.276,N 44° 34.0202',W 123° 16.5494',-0.5,1,-0.0625,1,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:43:375,,393.579,0,33.6509,1.0459,44.567,-123.276,N 44° 34.0204',W 123° 16.5494',-0.5,0.875,-0.125,0.875,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:01:44:387,,394.414,0.835666,34.1208,1.06051,44.567,-123.276,N 44° 34.0206',W 123° 16.5493',-0.4375,1,0.0625,1,-0.4375,0.0625,0,6.95E-308,1.45357e-311
-00:01:45:400,,393.021,-1.39277,34.0878,1.05948,44.567,-123.276,N 44° 34.0208',W 123° 16.5492',-0.4375,0.9375,0,0.9375,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:46:412,,393.857,0.835653,33.7163,1.04794,44.567,-123.276,N 44° 34.021',W 123° 16.5491',-0.375,0.9375,-0.125,0.9375,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:01:47:426,,393.857,0,34.1038,1.05998,44.567,-123.276,N 44° 34.0212',W 123° 16.549',-0.5,0.9375,-0.25,0.9375,-0.5,-0.25,0,6.95E-308,1.45357e-311
-00:01:48:439,,393.857,0,33.9101,1.05396,44.567,-123.276,N 44° 34.0213',W 123° 16.549',-0.5,1,-0.0625,1,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:49:452,,393.857,0,33.9905,1.05646,44.567,-123.276,N 44° 34.0214',W 123° 16.549',-0.4375,1.125,0,1.125,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:50:463,,394.414,0.557113,33.974,1.05595,44.567,-123.276,N 44° 34.0216',W 123° 16.5489',-0.5,0.9375,-0.0625,0.9375,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:51:478,,393.857,-0.557113,34.0393,1.05797,44.567,-123.276,N 44° 34.0217',W 123° 16.5491',-0.5625,0.8125,0,0.8125,-0.5625,0,0,6.95E-308,1.45357e-311
-00:01:52:508,,393.857,0,33.7473,1.0489,44.567,-123.276,N 44° 34.0218',W 123° 16.5492',-0.4375,0.875,-0.125,0.875,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:53:538,,394.414,0.557113,33.8775,1.05295,44.567,-123.276,N 44° 34.0219',W 123° 16.5493',-0.625,1,-0.0625,1,-0.625,-0.0625,0,6.95E-308,1.45357e-311
-00:01:54:568,,394.136,-0.278558,33.8283,1.05142,44.567,-123.276,N 44° 34.0227',W 123° 16.5499',-0.3125,1.0625,-0.0625,1.0625,-0.3125,-0.0625,0,6.95E-308,1.45357e-311
-00:01:55:598,,394.136,0,34.37,1.06825,44.567,-123.276,N 44° 34.0227',W 123° 16.5499',-2.6875,3.625,0.3125,3.625,-2.6875,0.3125,0,6.95E-308,1.45357e-311
-00:01:56:611,,394.414,0.278558,34.1202,1.06049,44.567,-123.276,N 44° 34.0226',W 123° 16.5499',-0.4375,0.9375,-0.125,0.9375,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:57:628,,394.693,0.27856,33.8445,1.05192,44.567,-123.276,N 44° 34.0228',W 123° 16.5498',0.375,0,0.1875,0,0.375,0.1875,0,6.95E-308,1.45357e-311
-00:01:58:637,,394.414,-0.27856,34.3628,1.06803,44.567,-123.276,N 44° 34.0227',W 123° 16.5497',0.125,-0.4375,13.375,-0.4375,0.125,13.375,0,6.95E-308,1.45357e-311
-00:01:59:650,,394.414,0,34.121,1.06051,44.5671,-123.276,N 44° 34.023',W 123° 16.5497',-0.625,1,-0.1875,1,-0.625,-0.1875,0,6.95E-308,1.45357e-311
-00:02:00:651,,394.693,0.27856,50.918,1.58258,44.567,-123.276,N 44° 34.0229',W 123° 16.5496',33.9375,6.75,15.5,6.75,33.9375,15.5,0,6.95E-308,1.45357e-311
-00:02:01:659,,394.971,0.278562,37.2653,1.15824,44.5671,-123.276,N 44° 34.0231',W 123° 16.5494',17.0625,6.875,-4.25,6.875,17.0625,-4.25,0,6.95E-308,1.45357e-311
-00:02:02:672,Apogee,394.414,-0.557122,35.2195,1.09466,44.567,-123.276,N 44° 34.0229',W 123° 16.5495',-2.0625,9.5,4,9.5,-2.0625,4,0,6.95E-308,1.45357e-311
-00:02:03:689,,394.136,-0.278558,33.9664,1.05571,44.567,-123.276,N 44° 34.0229',W 123° 16.5496',2.125,14.6875,1.8125,14.6875,2.125,1.8125,0,6.95E-308,1.45357e-311
-00:02:04:699,,393.3,-0.83566,33.9312,1.05461,44.567,-123.276,N 44° 34.0228',W 123° 16.5497',-0.6875,1.1875,-12.8125,1.1875,-0.6875,-12.8125,0,6.95E-308,1.45357e-311
-00:02:05:711,,394.136,0.83566,33.8451,1.05194,44.567,-123.276,N 44° 34.0224',W 123° 16.55',-0.375,0.875,-0.0625,0.875,-0.375,-0.0625,0,6.95E-308,1.45357e-311
-00:02:06:724,,394.136,0,34.056,1.05849,44.567,-123.276,N 44° 34.0224',W 123° 16.55',-0.5625,0.875,-0.0625,0.875,-0.5625,-0.0625,0,6.95E-308,1.45357e-311
-00:02:07:727,,393.857,-0.278555,33.9095,1.05394,44.567,-123.276,N 44° 34.0223',W 123° 16.5499',-0.5,0.875,-0.25,0.875,-0.5,-0.25,0,6.95E-308,1.45357e-311
-00:02:08:735,,393.3,-0.557104,33.9584,1.05546,44.567,-123.276,N 44° 34.0222',W 123° 16.5497',-0.4375,1.0625,-0.1875,1.0625,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:02:09:746,,394.136,0.83566,34.024,1.0575,44.567,-123.276,N 44° 34.0222',W 123° 16.5497',-0.5,0.9375,-0.125,0.9375,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:02:10:748,,393.857,-0.278555,34.1055,1.06003,44.567,-123.276,N 44° 34.0224',W 123° 16.5496',-0.375,0.8125,-0.1875,0.8125,-0.375,-0.1875,0,6.95E-308,1.45357e-311
-00:02:11:758,,393.579,-0.278553,33.894,1.05346,44.567,-123.276,N 44° 34.0225',W 123° 16.5495',-0.5,1,-0.1875,1,-0.5,-0.1875,0,6.95E-308,1.45357e-311
-00:02:12:770,,393.579,0,33.7803,1.04993,44.567,-123.276,N 44° 34.0225',W 123° 16.5493',-0.4375,1,0,1,-0.4375,0,0,6.95E-308,1.45357e-311
-00:02:13:782,,393.579,0,33.8606,1.05242,44.567,-123.276,N 44° 34.0224',W 123° 16.5493',-0.5625,1.0625,-0.1875,1.0625,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:02:14:796,,393.857,0.278553,33.9876,1.05637,44.567,-123.276,N 44° 34.0225',W 123° 16.5492',-0.5,1.0625,-3.0625,1.0625,-0.5,-3.0625,0,6.95E-308,1.45357e-311
-00:02:15:809,,394.971,1.11424,34.215,1.06344,44.567,-123.276,N 44° 34.0226',W 123° 16.5493',-0.75,2.125,29.8125,2.125,-0.75,29.8125,0,6.95E-308,1.45357e-311
-00:02:16:810,,396.921,1.95,99.7911,3.10161,44.567,-123.276,N 44° 34.0226',W 123° 16.5491',-48.625,-38.625,-3.5,-38.625,-48.625,-3.5,0,6.95E-308,1.45357e-311
-00:02:17:822,,398.036,1.11434,89.3592,2.77737,44.567,-123.276,N 44° 34.022',W 123° 16.549',119.188,-29.1875,-29.5,-29.1875,119.188,-29.5,0,6.95E-308,1.45357e-311
-00:02:18:832,,398.593,0.557182,70.9582,2.20545,44.567,-123.276,N 44° 34.0212',W 123° 16.5498',225.313,16.75,-29.5625,16.75,225.313,-29.5625,0,6.95E-308,1.45357e-311
-00:02:19:845,Apogee,395.25,-3.34295,33.5114,1.04157,44.567,-123.276,N 44° 34.0207',W 123° 16.5493',-4.3125,32.8125,52.875,32.8125,-4.3125,52.875,0,6.95E-308,1.45357e-311
-00:02:20:871,,394.414,-0.835687,27.0591,0.841024,44.567,-123.276,N 44° 34.0206',W 123° 16.5494',-12.125,14.875,70.5625,14.875,-12.125,70.5625,0,6.95E-308,1.45357e-311
-00:02:21:904,,394.136,-0.278558,41.4962,1.28974,44.567,-123.276,N 44° 34.0207',W 123° 16.5496',-41.5,-43.3125,-51.75,-43.3125,-41.5,-51.75,0,6.95E-308,1.45357e-311
-00:02:22:934,,394.693,0.557118,33.3654,1.03703,44.567,-123.276,N 44° 34.0209',W 123° 16.5495',-11.625,1.5,-96.25,1.5,-11.625,-96.25,0,6.95E-308,1.45357e-311
-00:02:23:961,,394.971,0.278562,32.6355,1.01434,44.567,-123.276,N 44° 34.0211',W 123° 16.5488',1.75,-1.1875,-22.6875,-1.1875,1.75,-22.6875,0,6.95E-308,1.45357e-311
-00:02:24:990,,394.414,-0.557122,33.9975,1.05668,44.567,-123.276,N 44° 34.0211',W 123° 16.5484',2.1875,-8.25,-25.75,-8.25,2.1875,-25.75,0,6.95E-308,1.45357e-311
-00:02:26:004,,394.136,-0.278558,35.4944,1.1032,44.567,-123.276,N 44° 34.0214',W 123° 16.5486',1.5,-19.3125,-4.5625,-19.3125,1.5,-4.5625,0,6.95E-308,1.45357e-311
-00:02:27:018,,394.414,0.278558,32.1656,0.999737,44.567,-123.276,N 44° 34.0216',W 123° 16.5488',-15.4375,-1.8125,-32.75,-1.8125,-15.4375,-32.75,0,6.95E-308,1.45357e-311
-00:02:28:032,,395.25,0.835687,35.0129,1.08824,44.567,-123.276,N 44° 34.0211',W 123° 16.5473',5,3.375,-2.125,3.375,5,-2.125,0,6.95E-308,1.45357e-311
-00:02:29:045,,394.414,-0.835687,36.0773,1.12132,44.567,-123.276,N 44° 34.0208',W 123° 16.548',-64.25,40.3125,13.75,40.3125,-64.25,13.75,0,6.95E-308,1.45357e-311
-00:02:30:058,,394.414,0,36.692,1.14043,44.567,-123.276,N 44° 34.0219',W 123° 16.5471',31.5,21.6875,89.75,21.6875,31.5,89.75,0,6.95E-308,1.45357e-311
-00:02:31:071,,394.136,-0.278558,31.9036,0.991596,44.567,-123.276,N 44° 34.0226',W 123° 16.5466',-4.375,-12.9375,4.5,-12.9375,-4.375,4.5,0,6.95E-308,1.45357e-311
-00:02:32:085,,394.136,0,34.7769,1.0809,44.567,-123.276,N 44° 34.0228',W 123° 16.5462',-44.9375,54.4375,60.375,54.4375,-44.9375,60.375,0,6.95E-308,1.45357e-311
-00:02:33:098,,394.971,0.83568,32.232,1.0018,44.5671,-123.276,N 44° 34.0232',W 123° 16.5456',-40.625,25.1875,56.1875,25.1875,-40.625,56.1875,0,6.95E-308,1.45357e-311
-00:02:34:114,,394.693,-0.278562,44.9809,1.39805,44.5671,-123.276,N 44° 34.0234',W 123° 16.5455',5.625,3.0625,20.375,3.0625,5.625,20.375,0,6.95E-308,1.45357e-311
-00:02:35:123,,395.25,0.557127,36.0714,1.12114,44.5671,-123.276,N 44° 34.0236',W 123° 16.5458',-1,12.6875,56,12.6875,-1,56,0,6.95E-308,1.45357e-311
-00:02:36:138,,394.971,-0.278565,28.4453,0.884108,44.5671,-123.276,N 44° 34.0236',W 123° 16.5461',10.1875,-18.625,-31.3125,-18.625,10.1875,-31.3125,0,6.95E-308,1.45357e-311
-00:02:37:151,,393.857,-1.11424,35.9548,1.11751,44.5671,-123.276,N 44° 34.0239',W 123° 16.5461',20.3125,33.5625,-43.5,33.5625,20.3125,-43.5,0,6.95E-308,1.45357e-311
-00:02:38:163,,393.579,-0.278553,32.3975,1.00695,44.5671,-123.276,N 44° 34.0236',W 123° 16.5457',-15.8125,-21,3.3125,-21,-15.8125,3.3125,0,6.95E-308,1.45357e-311
-00:02:39:164,,393.579,0,31.1702,0.9688,44.567,-123.276,N 44° 34.0228',W 123° 16.5455',1.375,5.1875,10.3125,5.1875,1.375,10.3125,0,6.95E-308,1.45357e-311
-00:02:40:172,,393.579,0,34.7537,1.08018,44.567,-123.276,N 44° 34.0227',W 123° 16.5453',3.125,13.375,-1.3125,13.375,3.125,-1.3125,0,6.95E-308,1.45357e-311
-00:02:41:185,,394.693,1.11423,33.6417,1.04562,44.567,-123.276,N 44° 34.0222',W 123° 16.5453',-48.9375,8.75,19.375,8.75,-48.9375,19.375,0,6.95E-308,1.45357e-311
-00:02:42:198,,394.136,-0.557118,33.8154,1.05102,44.567,-123.276,N 44° 34.0216',W 123° 16.5451',2.0625,-1.25,-0.3125,-1.25,2.0625,-0.3125,0,6.95E-308,1.45357e-311
-00:02:43:211,,394.136,0,33.8547,1.05224,44.567,-123.276,N 44° 34.0215',W 123° 16.5451',8.9375,-12.0625,-19.75,-12.0625,8.9375,-19.75,0,6.95E-308,1.45357e-311
-00:02:44:225,,394.136,0,35.1756,1.09329,44.567,-123.276,N 44° 34.0211',W 123° 16.5448',4.4375,-3.125,-0.8125,-3.125,4.4375,-0.8125,0,6.95E-308,1.45357e-311
-00:02:45:239,,393.579,-0.557109,38.9123,1.20943,44.567,-123.276,N 44° 34.021',W 123° 16.5447',-15.6875,-24.8125,-49.1875,-24.8125,-15.6875,-49.1875,0,6.95E-308,1.45357e-311
-00:02:46:255,,394.136,0.557109,42.1318,1.3095,44.567,-123.276,N 44° 34.021',W 123° 16.5448',3,-6.4375,-24.75,-6.4375,3,-24.75,0,6.95E-308,1.45357e-311
-00:02:47:264,,393.857,-0.278555,21.2272,0.659762,44.567,-123.276,N 44° 34.0209',W 123° 16.545',27,4.75,17.25,4.75,27,17.25,0,6.95E-308,1.45357e-311
-00:02:48:277,,395.25,1.3928,39.4924,1.22746,44.567,-123.276,N 44° 34.0205',W 123° 16.5447',19.4375,9.4375,35.0625,9.4375,19.4375,35.0625,0,6.95E-308,1.45357e-311
-00:02:49:294,,395.25,0,31.7978,0.988308,44.567,-123.276,N 44° 34.0201',W 123° 16.5445',-26.25,12.375,-8,12.375,-26.25,-8,0,6.95E-308,1.45357e-311
-00:02:50:301,,394.414,-0.835687,29.3815,0.913207,44.567,-123.276,N 44° 34.02',W 123° 16.5446',-3.9375,6.0625,-13.4375,6.0625,-3.9375,-13.4375,0,6.95E-308,1.45357e-311
-00:02:51:331,,395.25,0.835687,37.9052,1.17813,44.567,-123.276,N 44° 34.0197',W 123° 16.5447',22.125,12.1875,15.375,12.1875,22.125,15.375,0,6.95E-308,1.45357e-311
-00:02:52:362,,394.971,-0.278565,31.4903,0.97875,44.567,-123.276,N 44° 34.0196',W 123° 16.5447',-16,-24.0625,21.1875,-24.0625,-16,21.1875,0,6.95E-308,1.45357e-311
-00:02:53:393,,395.529,0.557132,32.2712,1.00302,44.567,-123.276,N 44° 34.0198',W 123° 16.5447',-3.4375,0.25,0.875,0.25,-3.4375,0.875,0,6.95E-308,1.45357e-311
-00:02:54:422,,395.25,-0.278567,35.8141,1.11314,44.567,-123.276,N 44° 34.0194',W 123° 16.5447',-3.5625,8.875,-30.0625,8.875,-3.5625,-30.0625,0,6.95E-308,1.45357e-311
-00:02:55:451,,394.971,-0.278565,36.1816,1.12456,44.567,-123.276,N 44° 34.0193',W 123° 16.5452',-4.375,37.875,96.1875,37.875,-4.375,96.1875,0,6.95E-308,1.45357e-311
-00:02:56:465,,395.529,0.557132,39.4745,1.22691,44.567,-123.276,N 44° 34.0192',W 123° 16.5457',-58.6875,-12.9375,23.75,-12.9375,-58.6875,23.75,0,6.95E-308,1.45357e-311
-00:02:57:477,,394.693,-0.835694,26.5276,0.824504,44.567,-123.276,N 44° 34.0188',W 123° 16.5461',-42.3125,5,41.4375,5,-42.3125,41.4375,0,6.95E-308,1.45357e-311
-00:02:58:491,,395.529,0.835694,36.5612,1.13636,44.567,-123.276,N 44° 34.0186',W 123° 16.5462',16.3125,-6.375,-0.875,-6.375,16.3125,-0.875,0,6.95E-308,1.45357e-311
-00:02:59:504,,394.971,-0.557132,37.1634,1.15508,44.567,-123.276,N 44° 34.0186',W 123° 16.5462',14.5625,-1.75,9.1875,-1.75,14.5625,9.1875,0,6.95E-308,1.45357e-311
-00:03:00:516,,395.807,0.835701,28.082,0.872816,44.567,-123.276,N 44° 34.0187',W 123° 16.5463',6.9375,-6.875,-79.8125,-6.875,6.9375,-79.8125,0,6.95E-308,1.45357e-311
-00:03:01:529,,395.25,-0.557136,32.3285,1.0048,44.567,-123.276,N 44° 34.0188',W 123° 16.5469',10.5,-28.125,-72.5625,-28.125,10.5,-72.5625,0,6.95E-308,1.45357e-311
-00:03:02:542,,395.25,0,40.0303,1.24418,44.567,-123.276,N 44° 34.0188',W 123° 16.5476',-6.0625,12.0625,-26.625,12.0625,-6.0625,-26.625,0,6.95E-308,1.45357e-311
-00:03:03:556,,394.414,-0.835687,37.7726,1.17401,44.567,-123.276,N 44° 34.0186',W 123° 16.5477',18.625,51.0625,-20.1875,51.0625,18.625,-20.1875,0,6.95E-308,1.45357e-311
-00:03:04:569,,394.971,0.557122,33.8647,1.05255,44.567,-123.276,N 44° 34.0184',W 123° 16.5475',-0.6875,1.125,-0.125,1.125,-0.6875,-0.125,0,6.95E-308,1.45357e-311
-00:03:05:582,,395.25,0.278565,33.8932,1.05343,44.567,-123.276,N 44° 34.0184',W 123° 16.5474',-0.5625,0.8125,0.125,0.8125,-0.5625,0.125,0,6.95E-308,1.45357e-311
-00:03:06:595,,394.414,-0.835687,34.0549,1.05846,44.567,-123.276,N 44° 34.0184',W 123° 16.5472',-0.4375,1.0625,-0.125,1.0625,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:03:07:608,,394.414,0,34.0231,1.05747,44.567,-123.276,N 44° 34.0184',W 123° 16.5471',-0.375,0.875,-0.125,0.875,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:03:08:622,,394.414,0,33.9261,1.05446,44.567,-123.276,N 44° 34.0184',W 123° 16.547',-0.625,1,-0.0625,1,-0.625,-0.0625,0,6.95E-308,1.45357e-311
-00:03:09:628,,394.693,0.27856,33.9258,1.05445,44.567,-123.276,N 44° 34.0185',W 123° 16.5468',-0.5,1,0,1,-0.5,0,0,6.95E-308,1.45357e-311
-00:03:10:630,,394.971,0.278562,33.9746,1.05596,44.567,-123.276,N 44° 34.0185',W 123° 16.5465',-0.5,0.9375,0.0625,0.9375,-0.5,0.0625,0,6.95E-308,1.45357e-311
-00:03:11:644,,395.25,0.278565,33.8784,1.05298,44.567,-123.276,N 44° 34.0185',W 123° 16.5464',-0.5,1,-0.125,1,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:03:12:657,,394.414,-0.835687,33.8446,1.05192,44.567,-123.276,N 44° 34.0186',W 123° 16.5462',-0.5,0.9375,-0.0625,0.9375,-0.5,-0.0625,0,6.95E-308,1.45357e-311
